# Simulation of Amazon AWS with latency 100ms, bandwidth 1MB/s
# $ python src/cpy/simulator.py --latency=100 --bandwidth=8
# EXAMPLE_FILE_POSITIONS_LENGTHS_TUPAC_TR_006_svs:
#           $1      $2          $3       $4     $5          $6          $7          $8          $9      $10             $11             $12         $13         $14             $15
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.     GET Cost  Egress Cost   Total Cost Whole File Cost
              1 50984831.0        0   254870   0.000%      1165658      1165658     100.000%    1166260     +602       100.052%     0.127435     0.000109     0.127544        0.092313
              2 50984831.0        0   254870   0.000%      1165658      1165658     100.000%    1166260     +602       100.052%     0.127435     0.000109     0.127544        0.092313
              4 50983429.3        7   254863   0.003%      1165658      1165658     100.000%    1166260     +602       100.052%     0.127432     0.000109     0.127540        0.092313
              8 25506165.2   127370   127500  49.974%      1165658      1165658     100.000%    1166260     +602       100.052%     0.063750     0.000109     0.063859        0.092313
             16 12761670.7   191081    63789  74.972%      1165658      1165674     100.001%    1166276     +602       100.052%     0.031894     0.000109     0.032003        0.092313
             32  6384261.5   222962    31908  87.481%      1165658      1165690     100.003%    1166292     +602       100.052%     0.015954     0.000109     0.016063        0.092313
             64  3195060.1   238905    15965  93.736%      1165658      1165737     100.007%    1166299     +562       100.048%     0.007983     0.000109     0.008091        0.092313
            128  1599963.6   246879     7991  96.865%      1165658      1165865     100.018%    1166427     +562       100.048%     0.003995     0.000109     0.004104        0.092313
            256   801833.7   250869     4001  98.430%      1165658      1165947     100.025%    1166509     +562       100.048%     0.002001     0.000109     0.002109        0.092313
            512   402538.8   252865     2005  99.213%      1165658      1167567     100.164%    1168089     +522       100.045%     0.001002     0.000109     0.001111        0.092313
           1024   202499.9   253865     1005  99.606%      1165658      1169812     100.356%    1170294     +482       100.041%     0.000503     0.000109     0.000611        0.092313
           2048   102484.8   254365      505  99.802%      1165658      1172884     100.620%    1173366     +482       100.041%     0.000253     0.000109     0.000362        0.092313
           4096    52683.1   254614      256  99.900%      1165658      1185172     101.674%    1185654     +482       100.041%     0.000128     0.000110     0.000238        0.092313
           8192    27906.3   254738      132  99.948%      1165658      1209748     103.782%    1210230     +482       100.040%     0.000066     0.000113     0.000179        0.092313
          16384    15552.1   254800       70  99.973%      1165658      1258900     107.999%    1259382     +482       100.038%     0.000035     0.000117     0.000152        0.092313
          32768     9449.8   254831       39  99.985%      1165658      1357204     116.432%    1357686     +482       100.036%     0.000019     0.000126     0.000146        0.092313
          65536     6447.4   254847       23  99.991%      1165658      1553812     133.299%    1554294     +482       100.031%     0.000012     0.000145     0.000156        0.092313
         131072     5518.2   254854       16  99.994%      1165658      2012564     172.655%    2013046     +482       100.024%     0.000008     0.000187     0.000195        0.092313
         262144     5413.5   254859       11  99.996%      1165658      2883584     247.378%    2884026     +442       100.015%     0.000005     0.000269     0.000274        0.092313
         524288     6144.6   254862        8  99.997%      1165658      4194304     359.823%    4194706     +402       100.010%     0.000004     0.000391     0.000395        0.092313
        1048576     7898.5   254864        6  99.998%      1165658      6291456     539.734%    6291818     +362       100.006%     0.000003     0.000586     0.000589        0.092313
        2097152    11970.0   254865        5  99.998%      1165658     10485760     899.557%   10486122     +362       100.003%     0.000003     0.000977     0.000979        0.092313
        4194304    22681.4   254865        5  99.998%      1165658     20971520    1799.114%   20971882     +362       100.002%     0.000003     0.001953     0.001956        0.092313
# Cost of downloading complete file [0.923125 GB]: GET: 0.000000 Egress: 0.092313 Total: 0.092313
