# Simulation of Amazon AWS with latency 100ms, bandwidth 1MB/s
# $ python src/cpy/simulator.py --latency=100 --bandwidth=8
# EXAMPLE_FILE_POSITIONS_LENGTHS_TUPAC_TR_005_svs:
#           $1      $2          $3       $4     $5          $6          $7          $8          $9      $10             $11             $12         $13         $14             $15
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.     GET Cost  Egress Cost   Total Cost Whole File Cost
              1 35342641.1        0   176676   0.000%       709714       709714     100.000%     710276     +562       100.079%     0.088338     0.000066     0.088404        0.093212
              2 35342661.0        0   176676   0.000%       709714       709714     100.000%     710276     +562       100.079%     0.088338     0.000066     0.088404        0.093212
              4 35341245.1        7   176669   0.004%       709714       709714     100.000%     710276     +562       100.079%     0.088335     0.000066     0.088401        0.093212
              8 17685010.4    88272    88404  49.963%       709714       709718     100.001%     710280     +562       100.079%     0.044202     0.000066     0.044268        0.093212
             16  8850622.3   132436    44240  74.960%       709714       709728     100.002%     710330     +602       100.085%     0.022120     0.000066     0.022186        0.093212
             32  4428590.7   154542    22134  87.472%       709714       709760     100.006%     710362     +602       100.085%     0.011067     0.000066     0.011133        0.093212
             64  2217368.6   165596    11080  93.729%       709714       709824     100.015%     710426     +602       100.085%     0.005540     0.000066     0.005606        0.093212
            128  1110360.0   171130     5546  96.861%       709714       710018     100.043%     710540     +522       100.074%     0.002773     0.000066     0.002839        0.093212
            256   556653.2   173898     2778  98.428%       709714       710274     100.079%     710796     +522       100.073%     0.001389     0.000066     0.001455        0.093212
            512   279607.9   175283     1393  99.212%       709714       712846     100.441%     713368     +522       100.073%     0.000696     0.000066     0.000763        0.093212
           1024   140979.4   175976      700  99.604%       709714       716800     100.998%     717362     +562       100.078%     0.000350     0.000067     0.000417        0.093212
           2048    71576.6   176323      353  99.800%       709714       722944     101.864%     723506     +562       100.078%     0.000176     0.000067     0.000244        0.093212
           4096    37182.0   176495      181  99.898%       709714       741376     104.461%     741938     +562       100.076%     0.000090     0.000069     0.000160        0.093212
           8192    20013.6   176581       95  99.946%       709714       778240     109.655%     778802     +562       100.072%     0.000048     0.000072     0.000120        0.093212
          16384    11487.5   176624       52  99.971%       709714       851968     120.044%     852530     +562       100.066%     0.000026     0.000079     0.000105        0.093212
          32768     7458.8   176645       31  99.982%       709714      1015808     143.129%    1016370     +562       100.055%     0.000016     0.000095     0.000110        0.093212
          65536     5361.0   176657       19  99.989%       709714      1245184     175.449%    1245706     +522       100.042%     0.000010     0.000116     0.000125        0.093212
         131072     4896.7   176662       14  99.992%       709714      1835008     258.556%    1835530     +522       100.028%     0.000007     0.000171     0.000178        0.093212
         262144     5367.4   176665       11  99.994%       709714      2883584     406.302%    2884106     +522       100.018%     0.000005     0.000269     0.000274        0.093212
         524288     4629.3   176670        6  99.997%       709714      3145728     443.239%    3146090     +362       100.012%     0.000003     0.000293     0.000296        0.093212
        1048576     5297.4   176672        4  99.998%       709714      4194304     590.985%    4194626     +322       100.008%     0.000002     0.000391     0.000393        0.093212
        2097152     9580.3   176672        4  99.998%       709714      8388608    1181.970%    8388930     +322       100.004%     0.000002     0.000781     0.000783        0.093212
        4194304    18147.1   176672        4  99.998%       709714     16777216    2363.940%   16777538     +322       100.002%     0.000002     0.001563     0.001565        0.093212
# Cost of downloading complete file [0.932118 GB]: GET: 0.000000 Egress: 0.093212 Total: 0.093212
