# EXAMPLE_FILE_POSITIONS_LENGTHS_TUPAC_TR_005_svs:
#           $1      $2          $3       $4     $5          $6          $7          $8          $9      $10             $11
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.
             0  3535024.5        0   176676   0.000%       709714       709714     100.000%     710156     +442       100.062%
             1  3535024.9        0   176676   0.000%       709714       709714     100.000%     710156     +442       100.062%
            16   885452.6   132436    44240  74.960%       709714       709728     100.002%     710202     +474       100.067%
            32   443178.5   154542    22134  87.472%       709714       709760     100.006%     710234     +474       100.067%
            64   222019.4   165596    11080  93.729%       709714       709824     100.015%     710298     +474       100.067%
           128   111299.1   171130     5546  96.861%       709714       710018     100.043%     710428     +410       100.058%
           256    55920.3   173898     2778  98.428%       709714       710274     100.079%     710684     +410       100.058%
           512    28210.9   175283     1393  99.212%       709714       712846     100.441%     713256     +410       100.058%
          1024    14347.2   175976      700  99.604%       709714       716800     100.998%     717242     +442       100.062%
          2048     7405.7   176323      353  99.800%       709714       722944     101.864%     723386     +442       100.061%
          4096     3968.6   176495      181  99.898%       709714       741376     104.461%     741818     +442       100.060%
          8192     2252.6   176581       95  99.946%       709714       778240     109.655%     778682     +442       100.057%
         16384     1403.5   176624       52  99.971%       709714       851968     120.044%     852410     +442       100.052%
         32768     1014.0   176645       31  99.982%       709714      1015808     143.129%    1016250     +442       100.044%
         65536      815.2   176657       19  99.989%       709714      1245184     175.449%    1245594     +410       100.033%
        131072      821.6   176662       14  99.992%       709714      1835008     258.556%    1835418     +410       100.022%
