# EXAMPLE_FILE_POSITIONS_LENGTHS_TUPAC_TR_004_svs:
#           $1      $2          $3       $4     $5          $6          $7          $8          $9      $10             $11
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.
             0  5826902.5        0   291224   0.000%      1311074      1311074     100.000%    1311548     +474       100.036%
             1  5826905.3        0   291224   0.000%      1311074      1311074     100.000%    1311548     +474       100.036%
            16  1458574.6   218346    72878  74.975%      1311074      1311090     100.001%    1311564     +474       100.036%
            32   729838.9   254770    36454  87.482%      1311074      1311106     100.002%    1311580     +474       100.036%
            64   365390.7   272986    18238  93.737%      1311074      1311153     100.006%    1311595     +442       100.034%
           128   183121.8   282096     9128  96.866%      1311074      1311281     100.016%    1311723     +442       100.034%
           256    91910.7   286655     4569  98.431%      1311074      1311363     100.022%    1311805     +442       100.034%
           512    46295.0   288935     2289  99.214%      1311074      1312711     100.125%    1313121     +410       100.031%
          1024    23423.5   290078     1146  99.606%      1311074      1313932     100.218%    1314310     +378       100.029%
          2048    12001.0   290649      575  99.803%      1311074      1317004     100.452%    1317382     +378       100.029%
          4096     6324.7   290933      291  99.900%      1311074      1329292     101.390%    1329670     +378       100.028%
          8192     3485.3   291075      149  99.949%      1311074      1353868     103.264%    1354246     +378       100.028%
         16384     2098.3   291145       79  99.973%      1311074      1411212     107.638%    1411590     +378       100.027%
         32768     1418.4   291180       44  99.985%      1311074      1525900     116.385%    1526278     +378       100.025%
         65536     1099.5   291198       26  99.991%      1311074      1755276     133.881%    1755654     +378       100.022%
        131072      988.2   291207       17  99.994%      1311074      2148492     163.873%    2148870     +378       100.018%
